Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
544.994,-0.28565,1.62407,1.79584,0.88042,-0.70521
546.166,-0.28691,-2.66923,4.05837,2.47601,2.47908
547.338,1.00655,1.93234,-0.15067,-1.41821,-0.70998
548.51,-0.28754,-0.59448,1.65707,0,-7.09876
549.682,-0.57655,0.29799,-1.51026,-4.4425,5.51554
550.855,1.01125,-0.29867,-1.21095,1.60293,0.53497
552.027,1.73488,0.74724,-0.9089,-2.8518,0
553.2,-3.18382,4.33836,0.90981,3.38993,0
554.372,1.73686,-2.54351,0.15166,1.60597,0.89331
555.545,1.01455,0,0.60745,-0.35737,-1.07344
556.718,2.46649,0,4.2566,0.53661,-0.35819
557.892,2.90628,-0.15021,0,-0.7166,-1.9731
559.065,1.75073,1.96058,2.90448,0.17987,-2.88143
560.238,-1.75268,-1.50981,3.21378,1.98073,-2.52405
561.412,-1.02395,4.0827,-3.67848,-0.54102,-0.54169
562.586,-2.05577,1.66971,-1.23087,-1.0862,3.62516
563.76,0.58832,-1.9765,2.46575,-3.62655,-2.36018
564.934,-0.738,1.52576,-1.08258,-3.09347,5.64803
566.108,1.18186,1.67985,-1.39314,-0.18213,3.64717
567.282,2.0738,4.13433,1.70729,7.12222,-1.64563
568.457,-0.59449,0.9218,-0.46718,0.18323,-0.18346
569.631,-1.33921,-3.38401,2.49461,-1.4676,-2.38781
570.806,3.87455,1.07832,-0.78072,0.91861,-4.96663
571.981,1.04851,0.30967,0.31389,-0.55399,-2.40362
573.156,0.75107,-0.77639,-1.73132,-1.11115,3.33757
574.331,1.80647,-0.62246,4.88975,-0.37119,-2.04405
575.506,1.66038,-3.12067,-2.05606,-8.37413,0.93161
576.682,0.60576,7.20107,1.58677,1.12021,-1.86933
577.857,-0.30411,-1.88617,0,-2.62445,-0.56308
579.033,0.76283,-0.94626,0.47957,0,-1.50659
580.209,0.15292,1.26458,0.96135,-3.20489,6.22898
581.384,-1.53018,0.79089,-1.60332,-2.64109,3.96655
582.561,1.37822,-1.42469,2.0859,2.83189,3.02444
583.737,1.38044,-1.10988,-3.05354,3.02556,-1.89332
584.913,-1.07597,-1.43003,2.25479,-1.51601,1.32816
586.089,0.30853,1.11626,-3.39437,-0.38037,3.42757
587.266,0.46328,1.59634,2.75074,-2.28463,4.00307
588.443,0.1547,-2.87854,1.78306,0.57218,3.62828
589.62,-1.5539,3.05196,1.62817,1.34101,-3.06897
590.797,-0.31119,1.44757,-0.81516,-4.02835,1.92064
591.974,0.15575,1.44902,-1.14236,0.96009,-2.49932
593.151,-4.05362,3.22331,0.32672,0.19221,1.34716
594.328,0.7806,2.42077,-0.32716,-3.46453,-1.73441
595.506,-0.15655,0.97098,0.65614,4.24612,0.57973
596.683,2.51163,3.7322,3.45406,-1.93529,-3.10031
597.861,0.78541,-0.48714,-0.16459,1.74294,4.2658
599.039,1.88963,0,0,0.38827,-1.16626
600.217,-1.57609,0.97754,-1.9817,2.1374,-2.14005
601.395,-2.21487,0.8177,2.4865,0,-4.101
602.573,2.06278,0.16403,-3.49143,1.56498,-0.78346
603.752,-3.49541,-0.98543,-2.49713,-2.54642,-6.27588
604.93,-2.39182,2.80213,0.6683,-4.12827,1.57463
606.109,-4.0071,1.82257,1.5115,-2.76649,-0.3957
607.288,1.28218,-0.33135,-3.19072,1.77833,-2.17622
608.466,-1.60528,1.82535,-2.85941,0.59372,0
609.645,-3.86468,2.16395,0.84362,0.99262,-2.98156
610.825,-0.32295,0.16692,5.24495,-6.17131,2.39186
612.004,2.10801,1.00573,-0.33981,0,-5.60451
613.183,-1.46487,0.673,1.02325,0.60199,1.8082
614.363,-1.14249,0.33743,-0.85507,-2.61583,-5.84257
615.542,-1.80226,1.18556,-1.20171,1.21196,-2.02244
616.722,3.93392,0.33888,1.54573,-0.60624,4.04664
617.902,-0.32815,1.35684,-6.18891,-7.28198,1.62023
619.082,-2.14055,-1.36168,-0.86264,3.04498,1.21951
620.262,-1.65341,-0.85458,-1.03946,1.22305,-1.22457
621.442,0.82901,-0.51418,1.56353,3.47495,5.52588
622.622,0.49792,2.05885,0.17391,2.04622,-3.4829
623.803,-0.83264,-4.13144,-1.3959,2.46366,-5.139
624.983,-1.00279,-0.86383,1.22583,-1.85443,4.12607
626.164,-0.50387,-2.95152,-2.1118,0.82826,-1.8659
627.345,-3.70188,-1.21759,-1.58679,-2.69684,-5.19266
628.526,0.33742,-4.01122,0.88388,0.62399,-3.7486
629.707,-5.25177,1.92636,2.1301,-1.87974,0.41824
630.888,-3.39492,3.86032,-2.49002,1.4649,-3.3525
632.069,-0.1703,1.05623,-0.71374,-1.88956,0.42042
633.25,-0.85312,0.52913,1.25144,8.83483,-5.47597
634.432,-0.51231,-0.52958,-0.35786,-7.15816,0.84318
635.613,4.44589,4.06551,4.12087,1.05406,-2.53289
636.795,1.54301,-0.17723,1.43711,0.21137,2.32792
637.977,0.17176,-4.97148,1.97968,4.02338,0
639.159,2.40227,0.35475,2.51709,-6.76948,3.17713
640.341,-0.51622,0.35575,0.1803,4.24283,1.48683
641.523,-2.07103,-0.35681,3.07418,4.89377,1.70429
642.705,-0.51949,2.50604,-0.72576,-1.06743,-2.13751
643.887,-4.51579,4.30896,-1.09191,2.35539,2.57271
645.07,2.26667,0.90119,-2.19231,1.50472,2.15226
646.252,2.97082,2.89034,-6.04251,-3.44714,5.60855
647.435,-1.40313,-0.72522,4.04303,1.51362,-1.732
648.618,-2.46734,3.82579,-6.09383,3.04186,-1.74037
649.801,-0.17701,-0.9149,4.63677,-2.18228,-1.74799
650.984,3.02436,-1.28731,-0.93203,3.0706,5.05081
652.167,-0.5364,1.66345,1.12407,-1.76347,-3.75202
653.35,-0.71795,2.7831,-1.31647,3.09796,1.10779
654.533,-2.33789,1.85902,0.37687,-4.21256,4.21779
655.717,1.08251,0.373,1.13425,3.55886,-1.78164
656.9,-1.08722,1.12387,-1.89863,-2.45736,2.23673
658.084,0.90908,1.31563,-2.09557,7.17289,0.67329
659.268,2.3687,-2.07187,3.43649,-1.57245,4.94812
660.452,-1.83058,-0.75692,3.06891,-2.25684,-4.9712
661.636,4.41683,1.33168,5.20641,1.13444,1.13585
662.82,8.12128,0.76319,2.12736,1.13777,3.64537
664.004,7.21233,-1.7205,3.48786,-3.64789,4.10897
665.188,2.58738,-1.14627,0.77458,-2.27847,0.68439
666.372,4.26896,4.02917,-0.58343,0.9153,-9.39351
667.557,2.23392,0.19244,-5.26654,-1.60655,-2.29792
668.741,4.48588,1.54571,0.39169,6.91303,-0.92288
669.926,5.62126,6.77926,-4.71194,-5.54415,0
671.111,7.49521,3.68027,0.78534,5.54429,3.23819
672.296,3.19494,0.38855,-2.75688,3.47549,4.17577
673.481,5.27532,-0.97378,-1.97409,0.69682,-0.93025
674.666,6.61424,3.1256,0.79204,-0.69895,0.93309
675.851,9.10283,5.09695,2.98059,2.10421,2.80909
677.036,8.36974,1.37645,4.78351,-1.87612,5.63534
678.221,4.75637,6.09676,-2.59152,1.17278,-0.93939
679.407,6.66567,0.59061,2.3946,2.11314,0
680.592,8.98412,-1.58077,-0.20029,6.1272,3.53931
681.778,6.92204,3.18019,-3.02203,-3.08167,-1.66142
682.964,12.94588,1.99737,7.08599,7.38464,-1.19255
684.15,23.55924,6.78707,-1.01169,1.66652,5.72088
685.336,39.91611,3.60541,6.29388,6.92771,8.84978
686.522,61.55048,11.23989,7.52748,11.49012,14.62015
687.708,85.77974,12.66743,13.45134,18.46494,17.04725
688.894,111.90456,22.005,17.80278,22.63247,20.0088
